Depot,Code,long,lat,address,city,area,PostCode
Wincanton,9069,51.465,0.3483,KEVIN DE'COURT DEPOT MANAGER RIVERSIDE TERMINAL  FERRY ROAD,Tilbury,Essex,RM18 7NH
Pentalver Tilbury,9070,51.465,0.3483,BERTH 45 TILBURY DOCKS,Tilbury,Essex,RM18 7DN
European Freight Terminal,9055,55.7939,-3.9862,NULL,Motherwell,North Lanarkshire,M17 1FA
Immingham Quay,9029,53.6117,-0.2245,Immingham,Immingham,North East Lincolnshire,NULL
PARIS - DO NOT USE,9071,NULL,NULL,TEST,Felixstowe,Suffolk,NULL
Container Team,9072,51.312,-2.8245,"UNIT A, WESTON EUROPARK, WINTERSTOKE ROAD",Weston-Super-Mare,North Somerset,BS24 9AA
Leavesley Container Services,9073,52.788,-1.6566,LICHFIELD  ROAD BURTON ON TRENT,Branston,Staffordshire,NULL
Freightliner Cardiff,9074,51.4718,-3.1859,"South Wales International Freight Terminal Newlands Road, Wentloog, Cardiff",Cardiff,Cardiff,CF3 2EU
Roadways Container Logistics,9075,53.4816,-2.2362,MANCHESTER CONTAINERBASE BARTON DOCK ROAD,Manchester,Greater Manchester,M41 7BQ
ACS Reefer Services,9076,51.9515,1.3342,Unit 2/3 Nicholas Road,Felixstowe,Suffolk,IP11 4AT
Eldapoint Grangemouth,9077,56.004,-3.7069,LAURIESTON ROAD THORNBRIDGE,Grangemouth,Falkirk,FK3 8XX
FELIXSTOWE SOUTH REDEVELOPMENT,9078,51.9515,1.3342,Languard,Felixstowe,Suffolk,NULL
FELIXSTOWE BERTHS 8+9,9079,NULL,NULL,LANGUARD,Felixstowe,Suffolk,NULL
Wincanton Alconbury,9037,52.3666,-0.2633,BUILDING 760 ALCONBURY AIRFIELD,Alconbury,Cambridgeshire,PE28 4WX
Eldapoint Greenock,9080,55.9345,-4.7433,CHARLEYWOOD ROAD,Greenock,Inverclyde,NULL
Pentalver Cannock,9081,52.6888,-2.049,Pentalver Way,Cannock,Staffordshire,WS11 8XY
Eldapoint Felixstowe,9083,51.9515,1.3342,Sub Station Dock,Felixstowe,Suffolk,IP11 3JB
Southampton Quay,9084,50.8877,-1.3715,204/207 WESTERN DOCKS,Southampton,Southampton,SO15 1DA
Eldapoint Liverpool,9085,53.4561,-2.852,NULL,Knowsley,Knowsley,NULL
EWS Mossend,9086,55.8167,-4,Eurocentral,Mossend,North Lanarkshire,ML4
